org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,24046,19974,4993,4072,4993,836,Linux kernel,kernel.org
dotnet,corefx+coreclr+cli+core-setup+project-system+docs+corert+corefxlab+sdk+templating+roslyn-analyzers+standard,17259,12177,1898,1877,1307,382,dotnet,microsoft.com/net
kubernetes+kubernetes-incubator,kubernetes+test-infra+kubernetes.github.io+kops+service-catalog+helm+kube-aws+ingress+charts+minikube+dashboard+kargo,19372,15208,1847,1130,1187,321,Kubernetes,kubernetes.io
tootsuite,mastodon,8375,5507,1028,918,922,275,Mastodon,mastodon.social
DefinitelyTyped,DefinitelyTyped,2451,1303,561,469,118,273,DefinitelyTyped,definitelytyped.org
NixOS,nixpkgs+nix,5013,2999,647,1070,297,273,NixOS,nixos.org
mozilla,addons-server+thimble.mozilla.org+geckodriver+pdf.js+fxa-content-server+network+activity-stream+fxa-auth-server+addons-frontend+network-api+normandy,6186,3463,569,1459,695,220,Mozilla,mozilla.org
caskroom,homebrew-cask,3925,992,1448,1412,73,209,Homebrew Cask,caskroom.github.io
Homebrew,homebrew-core+brew+homebrew-science,3732,2222,808,542,160,194,Homebrew,brew.sh
react-community+facebook+facebookincubator+reactjs,react-navigation+react-native+react+jest+create-react-app+osquery+rocksdb+reason+draft-js+AsyncDisplayKit+redux,10274,7620,854,693,1107,193,React,facebook.com
Microsoft+dotnet,vscode+roslyn+vsts-tasks+vcpkg+msbuild+vstest+vsts-agent,16080,11396,741,1440,2503,184,VS Code,code.visualstudio.com
Azure,azure-cli+acs-engine+azure-powershell+azure-sdk-for-net+autorest+azure-webjobs-sdk-script+azure-quickstart-templates,4832,2896,723,774,439,171,Azure,azure.github.io
docker,docker+docker.github.io,4984,3533,517,523,411,166,Docker,mobyproject.org
aspnet,EntityFramework+KestrelHttpServer+Mvc+Razor+Docs+MetaPackages+SignalR+Hosting,6440,3356,594,1914,576,146,ASP.net,asp.net
hashicorp,terraform,3974,2253,420,880,421,137,Terraform,terraform.io
Automattic,wp-calypso,5624,2342,550,2470,262,133,WP Calypso,developer.wordpress.com/calypso
tensorflow,tensorflow+models,5270,4214,295,214,547,128,TensorFlow,tensorflow.org
ansible,ansible+ansible-container,4933,3292,658,531,452,127,Ansible,ansible.com
elastic,elasticsearch+kibana+beats+logstash,7722,4611,895,1594,622,124,Elasticsearch,elastic.co/products/elasticsearch
symfony,symfony+symfony-docs,3040,2164,331,386,159,114,Symfony,symfony.com
nodejs,node,5303,4264,422,434,183,111,Node.js,nodejs.org
angular,angular+angular-cli+material2+angular.js+angular.io,8619,6371,609,506,1133,111,Angular,angular.io
mozilla-services,screenshots,1332,375,89,719,149,97,Mozilla Services,mozilla-services.github.io
saltstack,salt,2775,2008,289,257,221,93,SaltStack,repo.saltstack.com
rails,rails+webpacker,2239,1471,244,357,167,90,Ruby on Rails,rubyonrails.org
odoo,odoo,1385,597,299,378,111,86,Odoo,odoo.com
eclipse,che+smarthome+kapua+kura,3326,1832,346,850,298,86,Eclipse,eclipse.org
ManageIQ,manageiq,2253,1423,340,461,29,84,ManageIQ,manageiq.org
w3c,web-platform-tests,1544,916,224,268,136,82,W3C Platform Tests,irc.w3.org/?channels=testing
home-assistant,home-assistant,2601,1716,325,358,202,81,Home Assistant,home-assistant.io
openshift,origin+openshift-ansible+openshift-docs+origin-web-catalog,5200,3915,607,381,297,79,OpenShift,openshift.com
laravel,framework,1988,1395,231,187,175,75,Laravel,laravel.com
Microsoft,LightGBM+ApplicationInsights-dotnet-server+UWPCommunityToolkit+RTVS+reactxp+bond,2732,1599,250,608,275,75,Microsoft,""
swagger-api,swagger-codegen+swagger-ui,2186,1485,184,275,242,75,Swagger,swagger.io
mapbox,mapbox-gl-native+mapbox-gl-js+mapbox-navigation-ios+mapbox-android-demo,2540,1155,246,875,264,74,Mapbox,mapbox.com
department-of-veterans-affairs,caseflow+vets-website,3991,1308,349,2096,238,66,Caseflow,va.gov
dmlc,mxnet+xgboost,1884,1226,220,186,252,65,DMLC,dmlc.github.io
coreos,tectonic-installer+etcd+prometheus-operator,2445,1524,320,392,209,63,CoreOS,coreos.com
vmware,vic+harbor+clarity+docker-volume-vsphere,3225,1750,375,494,606,62,VMware,vmware.github.io
cms-sw,cmssw,3512,3024,331,125,32,62,CMS Offline Software,cms-sw.github.io
influxdata,chronograf+telegraf+influxdb+kapacitor,2622,1232,204,888,298,61,InfluxData,influxdata.com
tgstation,tgstation,6321,4720,704,519,378,60,SS13,tgstation13.org
Polymer,polymer+polymer-analyzer+polymer-cli+docs,1430,651,154,481,144,60,Polymer,polymer-project.org
driftyco,ionic+ionic-native,2900,2116,128,181,475,59,Ionic,ionicframework.com
JuliaLang,julia,2896,1747,253,754,142,58,Julia,julialang.org
google,tie,1147,452,127,463,105,58,Google TIE,github.com/google/tie
ant-design,ant-design+ant-design-mobile,2405,1481,112,353,459,57,Ant Design,ant.design
nextcloud,server+android,3878,2332,267,981,298,55,Nextcloud,nextcloud.com
voidlinux,void-packages,1041,237,187,577,40,55,The Void distribution,voidlinux.eu
zurb,foundation-sites+building-blocks,1412,915,120,278,99,54,zurb,zurb.com
dart-lang,sdk,1785,807,23,677,278,53,Dart,dartlang.org
grpc,grpc+grpc-java,2399,1499,346,298,256,53,GRPC,grpc.io
frappe,erpnext+frappe,1792,844,291,365,292,52,frappe,""
ampproject,amphtml,1971,1189,291,260,231,51,AMP,ampproject.org
systemd,systemd,1100,828,91,83,98,50,systemd,freedesktop.org/wiki/Software/systemd
fabric8io,fabric8-ui+fabric8-planner,3764,2003,934,529,298,49,fabric8,fabric8.io
magento,magento2,2130,1680,127,69,254,49,Magento,magento.com/home
cockroachdb,cockroach+docs,6639,4800,503,762,574,49,Cockroach DB,cockroachlabs.com
ReactiveX,rxjs+RxJava+RxSwift,1024,706,88,111,119,48,ReactiveX,reactivex.io
pytorch,pytorch,1271,857,115,153,146,48,pytorch,""
joomla,joomla-cms,4583,3527,301,467,288,48,Joomla,joomla.org
telerik,kendo-ui-core+kendo-theme-default,622,81,82,331,128,48,Telerik,telerik.com
broadinstitute,cromwell+gatk+gatk-protected,1498,749,101,511,137,47,Broad Institute,broadinstitute.org
auth0,docs,492,41,174,255,22,45,Auth0,auth0.com
emberjs,ember.js+data,851,559,93,146,53,45,Ember.js,emberjs.com
prettier,prettier,1614,1110,160,142,202,44,prettier,""
Automattic,jetpack,1228,598,126,389,115,44,Automattic Jetpack,jetpack.com
fossasia,phimpme-android+open-event-orga-server+open-event-android+susper.com,1403,802,155,253,193,44,fossasia,fossasia.org
chef,chef+inspec,1269,594,145,420,110,44,Chef,chef.io/chef
ARMmbed,mbed-os,1595,1321,114,118,42,43,ARMmbed,""
godotengine,godot,2160,1593,185,182,200,43,Godot Engine,godotengine.org
yiisoft,yii2,1242,923,92,115,112,43,yiisoft,""
EFForg,https-everywhere,1216,449,358,357,52,42,HTTPS Everywhere,eff.org/https-everywhere
openwrt,packages,512,312,77,102,21,42,OpenWrt,openwrt.org
LLNL,spack,2371,1560,309,389,113,41,LLNL,""
ElemeFE,element,1644,920,100,100,524,41,ElemeFE,""
Microsoft,CNTK,1365,341,36,883,105,41,Microsoft Cognitive Toolkit,cntk.ai
PX4,Firmware,1918,1411,132,289,86,41,PX4,""
fastlane,fastlane,1618,1043,127,278,170,41,fastlane,fastlane.tools
GoogleCloudPlatform,google-cloud-java+google-cloud-node+google-cloud-python,1822,1160,214,285,163,40,Google Cloud Platform,cloud.google.com
