org,repo,activity,comments,prs,commits,issues,authors_alt2,authors_alt1,authors,pushes
kubernetes,kubernetes/kubernetes,579,485,41,21,32,20,"(null),nikhiljindal,Mike Wilson,Stephen Augustus,Jordan Liggitt,Tim Hockin,zhengjiajin,Brendan Burns,Michelle Au,Guangya Liu,Jesse Haka,mlmhl,Shaw Ho,Cao Shufeng,Konstantinos Tsakalozos,zouyee,Satyadeep Musuvathy,Mikhail Mazurskiy,nikhiljindal,Jordan Liggitt,Christoph Blecker,hangaoshuai","(null),c819a7aae58f150fdb2ec9c0afc94bfb771a28ed@google.com,604a139d5883ad6874311f22d186fb8241136f9f@burntsheep.com,2865765152809a426f118f48c468c5f459425211@agst.us,ab7c1929a756689dbac5470ae93a2e9006eefe52@redhat.com,a7fdbd518df462a5f466c75739e64b480a5fc51e@google.com,7c595bc47d4c24e995d797a0f40bc0e32cdef9db@caicloud.io,e483c5ad39bc5baa18ef0f0ba35faf5f109983f8@microsoft.com,ee566a4b98ea910f71070bb3be572bcb73877fe8@google.com,a2ac01f151c8448ef37b3d008efb22256dac3ea8@gmail.com,6633ef2c46faa365e52d3e883948afc7dcfff29e@gmail.com,a9333ab03c166be28a3fb9b936582f777c1f3f00@gmail.com,a6b49c4976642097a9de1924969707189625b285@alauda.io,f07975ad5cec4d1bed6cbb67407ec08c08437353@cn.fujitsu.com,005079433f6c96f3479b89bce7c5aef5144a7cb0@canonical.com,54483efb1c8a843a97720883bd9cc262af035bfb@gmail.com,5d50414a450614a512b9cdb9631d521e385af17a@google.com,74ca74f2745b001328d43316b38dd342cd7dcbd0@atlassian.com,c819a7aae58f150fdb2ec9c0afc94bfb771a28ed@google.com,ab7c1929a756689dbac5470ae93a2e9006eefe52@redhat.com,7b2e9f54cdff413fcde01f330af6896c3cd7e6cd@toph.ca,bc630f31af6f3db9c4d9f32b99ba9334fb97865d@huawei.com",21
kubernetes,kubernetes/charts,258,190,46,19,3,7,"Chengfei Shang,AdamDang,(null),AdamDang,Anton Osmond,AdamDang,Juan José Martos,AdamDang,AdamDang,AdamDang,AdamDang,AdamDang,Chengfei Shang,Bitnami Bot,AdamDang,Chengfei Shang,AdamDang,Matt Farina,Chengfei Shang,AdamDang","4f1a8a6a31a7fa65c77553adaa2727f2189e22ad@alauda.io,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,(null),599a4085d228f14435056402abcbd0b78df86763@daocloud.io,5706040e794ba471164291772924f3ca41227080@users.noreply.github.com,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,4c84d3df464017321e41face5d618ac9deb4fa1a@gmail.com,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,4f1a8a6a31a7fa65c77553adaa2727f2189e22ad@alauda.io,b962920b6f122d64a7f4cb8ca7a506f3e0e57f0e@bitnami.com,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,4f1a8a6a31a7fa65c77553adaa2727f2189e22ad@alauda.io,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@mattfarina.com,4f1a8a6a31a7fa65c77553adaa2727f2189e22ad@alauda.io,599a4085d228f14435056402abcbd0b78df86763@daocloud.io",19
kubernetes,kubernetes/test-infra,194,162,7,16,9,13,"Steve Kuznetsov,Erick Fejta,Ryan Hitchman,Haoyun,Ryan Hitchman,Benjamin Elder,cpanato,Sen Lu,(null),Sen Lu,Sen Lu,Aaron Crickenberger,Steve Kuznetsov,Michalis Kargakis,Sebastien Vas,nikhiljindal,AdamDang","590a2dd5117f7a12a3220171b278818cf486992b@redhat.com,f435a039b59097ca8365366dbd7dc9445f2683bb@google.com,1a788ff037adc90be5c9523aae3e155694c657bd@google.com,fd6e478d37f113b6e570af8338848f5bb7825c93@ghostcloud.cn,1a788ff037adc90be5c9523aae3e155694c657bd@google.com,2e822a8391909996d43bdcb3676b4d1b331cbabd@google.com,3f985c8138cd0150e6b37f437d39b0c0828ce023@gmail.com,c046cd57c13d6cbe5f67b4dfaf59acc7b16446e0@google.com,(null),c046cd57c13d6cbe5f67b4dfaf59acc7b16446e0@google.com,c046cd57c13d6cbe5f67b4dfaf59acc7b16446e0@google.com,2bf0ebd35a39bf969912204fe2ca455f87157a3b@gmail.com,590a2dd5117f7a12a3220171b278818cf486992b@redhat.com,507be340a25d4f31d599588ff525ee75ea514bb9@redhat.com,ff04a2497a98be8e0619e51f311b690f4be001bb@google.com,c819a7aae58f150fdb2ec9c0afc94bfb771a28ed@google.com,599a4085d228f14435056402abcbd0b78df86763@daocloud.io",16
kubernetes,kubernetes/kops,194,140,24,19,10,11,"zengchen1024,Sergey Lanzman,AdamDang,Tom Wilkie,andrewsykim,andrewsykim,King'ori Maina,Sergey Lanzman,andrewsykim,sunlintong,Sergey Lanzman,Justin Santa Barbara,sunlintong,sunlintong,Jason Berlinsky,Justin Santa Barbara,zengchen1024,Xiao An,(null),Justin Santa Barbara","bfbb84b5e537fd96a569ea2a6354ac1bfe2aef5b@huawei.com,657b64a37493bee3c5c56056cc7a6d69b7ca2e6b@gettaxi.com,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,35c62e86979c568d68f6088bea60a6ea2058744f@gmail.com,39106133c8daaab1b5422339d1282fd412f9924e@gmail.com,39106133c8daaab1b5422339d1282fd412f9924e@gmail.com,33bcfd2688104659b70863849cdabba2b24ccccf@kingori.co,657b64a37493bee3c5c56056cc7a6d69b7ca2e6b@gettaxi.com,39106133c8daaab1b5422339d1282fd412f9924e@gmail.com,3e83e1b7c6c0e2b3d663ab8c9a67e99b907324e2@ghostcloud.cn,657b64a37493bee3c5c56056cc7a6d69b7ca2e6b@gettaxi.com,eed2bcb50b307b84ffae47fb7f0b80508b902de9@fathomdb.com,3e83e1b7c6c0e2b3d663ab8c9a67e99b907324e2@ghostcloud.cn,3e83e1b7c6c0e2b3d663ab8c9a67e99b907324e2@ghostcloud.cn,158e602a35675d2a0b685478824aa5995557a235@barefootcoders.com,eed2bcb50b307b84ffae47fb7f0b80508b902de9@fathomdb.com,bfbb84b5e537fd96a569ea2a6354ac1bfe2aef5b@huawei.com,18aa780ab70bb8b133aa3aa79c774d9a4134563a@zju.edu.cn,(null),eed2bcb50b307b84ffae47fb7f0b80508b902de9@fathomdb.com",20
envoyproxy,envoyproxy/envoy,161,122,21,11,5,10,"(null),Alex Konradi,James Sedgwick,Romain Lenglet,htuch,Matt Klein,Alex Konradi,Joshua Marantz,Matt Klein,Jarno Rajahalme,Naveen Gattu,alyssawilk","(null),ba620a55a05169d010c5abb70547829b24424b67@google.com,e7afa7a71d0e36d29a7e1afde2a80556558e293e@lyft.com,e59a0a4e85e7d44457166aef5b93195c4730723b@berabera.info,35d8823a91070b33cb5c164eb2b14f829f672e81@users.noreply.github.com,eb905f1610d5e396ded3bc6e527d46dfb547a1f9@lyft.com,ba620a55a05169d010c5abb70547829b24424b67@google.com,2fc2a4152e95eb454e93eff5d66caa52d5e5b7c6@google.com,eb905f1610d5e396ded3bc6e527d46dfb547a1f9@lyft.com,34c96149e0f84eb25c9df6d97f4a94ff9adedc00@covalent.io,c4f0931eaabaec6e0ab2ee455621c1139998daef@vsco.co,2ecc6c11d4056559889527f855372ffa39581273@google.com",13
kubernetes,kubernetes/website,111,72,15,9,15,10,"(null),Shen Yuanyu,Guang Ya Liu,eaydogan,AdamDang,Mike,Peter Wilcsinszky,Haoliang Yu,Nathan Baum,Qiming","(null),a907eb09f79e604debff8e6f40039124f9646f4d@ghostcloud.cn,a2ac01f151c8448ef37b3d008efb22256dac3ea8@gmail.com,c0c97d7ff82457707f7af0130ed151199446862b@users.noreply.github.com,599a4085d228f14435056402abcbd0b78df86763@daocloud.io,9c718659c7cd4c715abab71c311def3c89922b67@mcdargh.com,255ad28f7584e3d7bf31ad14772e4befc158a1f0@gmail.com,dd3656514c4c631de11e1a8192005e30892a9113@users.noreply.github.com,c3735bc86ade28a7fdff58b412a7d95e677ce80e@p12a.org.uk,35217ce58bb259d783b9f91c7c9faf1a22e608fb@cn.ibm.com",9
vmware,vmware/harbor,104,63,15,12,14,8,"Steven Zou,Steven Zou,Wenkai Yin,""Deng, Qian"",Steven Zou,Wenkai Yin,pfh,Yan,(null),sigsbee,Steven Zou,Tan Jiang,Yan","433535e3cae0167a16bba21e36d8cd14891c7b08@vmware.com,433535e3cae0167a16bba21e36d8cd14891c7b08@vmware.com,25e19537e308e00aff4a4901f8920181b14b0a1b@vmware.com,d25605f1af58b6f305df3b9a87fa69ebc1865b09@gmail.com,433535e3cae0167a16bba21e36d8cd14891c7b08@vmware.com,25e19537e308e00aff4a4901f8920181b14b0a1b@vmware.com,24fcf6fb6db4badd09e18c271022dce20b7d3e57@vmware.com,d023287aa41b1176274f5574ed6f320f902625a2@hotmail.com,(null),babc1b58a111f6168568407389b2dff0bbd3cc3b@users.noreply.github.com,433535e3cae0167a16bba21e36d8cd14891c7b08@vmware.com,6b1f47b5b88aaa5bb1c11394cc7e10b3bafeda43@vmware.com,d023287aa41b1176274f5574ed6f320f902625a2@hotmail.com",12
kubernetes,kubernetes/community,103,90,3,8,2,6,"(null),Paris,Paul Morie,Paris,Paris Pittman,fabriziopandini,Jorge O. Castro,Paris,Joe Beda","(null),1a30792a2bd8545e82a3b0566b5c3994e4aef5b6@google.com,23c8f2efe18c8b1e655629255406cd5bbb8de53f@redhat.com,1a30792a2bd8545e82a3b0566b5c3994e4aef5b6@google.com,1a30792a2bd8545e82a3b0566b5c3994e4aef5b6@google.com,b0ee481690db486d1e37f445021a629fb54c08fb@gmail.com,003d0b3b08c77bfdce3977af798b355c059577a6@gmail.com,1a30792a2bd8545e82a3b0566b5c3994e4aef5b6@google.com,9feca224879f54d22420a50db2d2d65927a92d16@bedafamily.com",8
grpc,grpc/grpc,79,55,10,4,10,5,"kpayson64,Muxi Yan,(null),Ara Ayvazyan,Eric Gribkoff","ac87cb0b59509d1702d30c19b221ebcc1db2ff7b@google.com,3168318b7f59d3143462ada9187de6bde8354af0@google.com,(null),7033472db54da19414d2e6afb3f0895a8da20dbe@microsoft.com,fb4b899af2f011d0c40f66896ec273a70e4fe331@google.com",4
pingcap,pingcap/tikv,76,62,8,2,4,2,"Jay,Jay,(null)","848632481c2963ff2e4e80b52028bc8173f33f82@users.noreply.github.com,848632481c2963ff2e4e80b52028bc8173f33f82@users.noreply.github.com,(null)",2
