org,repo,activity,comments,prs,commits,issues,authors_alt2,authors_alt1,authors
GoogleChrome,GoogleChrome/lighthouse,12295,5625,1994,2896,1780,81,"Surma,Mateus Ortiz,Jan Potoms,Chris Howse,Jilles Soeters,Nicolas Montesdeoca,Paul Irish,lokson,Nick Olinger,Boopathi Rajaa,Pavel Feldman,Boopathi Rajaa,Surma,Abby Armada,Carlos Araya,Den Temple,Karan Thakkar,Maciej Kasprzyk,Matthias Winkelmann,YongWoo Jeon,Eric Bidelman,Dmitry Gozman,Shane Osbourne,Michael Gerakis,Jeff Posnick,kiermasp,Sam Saccone,Ben Schwarz,Sam Saccone,YongWoo Jeon,cedricbellet,Addy Osmani,Narendra N Shetty,Paul Lewis,Michael Stramel,SendilKumar N,Kayce Basques,Will Chen,Deepanjan Roy,Matt Busche,M Somerville,Kurt Graff,Maurice de Beijer,Stuart Langridge,Paul Lewis,Sendil Kumar N,Brendan Kenny,Ziling Zhao,Bacon,John Boxall,Chris Wheatley,Weiwei Lin,WeiweiAtGit,Matt Gaunt,Zixu Zhao,Jim Cummins,Harsh Singh,Mark Dittmer,Kayce Basques,Michael Gerakis,Jeremiah Njoroge,(null),Kayce Basques,thearegee,André Cipriani Bandarra,Mel Shafer,Tommy C. Li,Artem Denysov,Rob Dodson,Patrick Hulce,Patrick Hulce,zhaoz,Mohsen Azimi,Brendan Kenny,Rob Dodson,Ward Peeters,XhmikosR,Even Stensberg,alex,Maya Benari,François Beaufort,Dan Dascalescu,Mike Smith","0810fa2c3679bc14c3e654fba82ade074fc071e1@surma.link,ce76d6d7cc5e06617b39e82517fdc5ab22d73295@ig.com.br,c3df0edebd27e4bbb8f25dd20a923c2ba0307210@gmail.com,4181b934c2715a2bba60cdb3cc1b35b2777d1c23@howsehold.org,616e881177e53541ea47e5917a60deb2554e079d@jilles.me,34304fa76a8608886bef8eb7246b2eeed532fad1@gmail.com,15e63d2cde23b6c5371c2e0a0dc267ad7728de5f@gmail.com,c04ad613f54ffedd810f07d7bb8999c8ce020347@gmail.com,382cb451556002778c7b3b2ea33c8301b74dfb67@gmail.com,2324458d570227ab131bcfe7815caeaacd97a9b8@users.noreply.github.com,235e260c3387232f567a0c5b9f55a964b6ec3b26@chromium.org,b4a5ea001e047040e8c9075b67a268293138da2c@boopathi.in,0810fa2c3679bc14c3e654fba82ade074fc071e1@surmair.de,723cdfbda174d3e012cc7cc1098a2f68845234b0@codeclimate.com,d714333db7ee35057a532fd2cb22c6b7833a362b@gmail.com,374d5b9808472784c75307c6375c1288e1c991df@users.noreply.github.com,4eafda120c883ce1d2369af37c8607a920b80952@gmail.com,c04ad613f54ffedd810f07d7bb8999c8ce020347@gmail.com,fd0b736c3ad547603f0551002ce5d92c88f24b7e@users.noreply.github.com,08084d8fdd58335a5e099c019f9c33318a3213f4@gmail.com,bd91d3878df0519c102b3e1021b09dbf784307b2@gmail.com,635a8549a8b865f924d751d8cb2972fab76ebbdc@chromium.org,8996c03561e90858629cdb860fa597a555eedbf1@gmail.com,ff9ddd96204b63eeb7774a31f44ed57430010f82@google.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,6508258251dac4080802e4249d44b23a9d20d623@gmail.com,c20002109429c63da346bda6ee78ecb6ee7c8ef6@gmail.com,68426f95618187c106641498f8b3b7e6eec1f196@gmail.com,c20002109429c63da346bda6ee78ecb6ee7c8ef6@google.com,380b4c92f559cf43d20833f4174d418be5ec1c2b@navercorp.com,99cb8ec9404d675aa5a77b1a54b56d6023c09a58@gmail.com,f4a8014f8d957005ce1e63bfc1fe51b3d88a23ca@gmail.com,248ee0d25691bae8e171b6aabb8bbb786bce7824@gmail.com,964dd9ca620e9bc86e949b4c97da8d5dd434fdc1@aerotwist.com,5012a6e72e3c95ba4dd59600bccbd54f6bc6328a@users.noreply.github.com,44502a1384f1d8a9f542ea75c64def059a52b0af@live.com,5635480d8e3d79b9e3bde70813677ac104ac845e@gmail.com,a8aac14888c73eaa2400fb532ec3aa35ec55f185@gmail.com,268aa06be873632b84800465917e979e55ffe35e@mail.mcgill.ca,419c00f9be420fe8b0d258f674c35b0962d32c98@gmail.com,b9c734df433b6730c24e02baca4a3feca8ba3f09@users.noreply.github.com,1cb9088ec25b62fcc5fc46c1a26871f4a317cdf0@users.noreply.github.com,4ec57907a8d81cac362ea911f53f613739653131@gmail.com,f58838ddfac7972981c146f9aeb1ebc4c6f0a4b4@kryogenix.org,f27a17fc90c00d8c248d8510a1084221738b492b@aerotwist.com,44502a1384f1d8a9f542ea75c64def059a52b0af@live.com,22a7e2396c3b02be3bc73d3c8d7199ce81ba8d84@gmail.com,3ed600082c4c67d273f413d1e1ddcfa86ae94467@google.com,4062124d74dfbd87d7f08a45a71ca40372ca84d9@gmail.com,febb44f0a3536761749f6c82b901d79bfa74cce8@mobify.com,2be416b715e7c1fb1389bae3bacdef345bd4c5ca@users.noreply.github.com,6b13f4592e9638fc7e584c5692acb37dcd9c4153@google.com,e9ac2538f32919ae4dc416238555d34d5035a9f7@outlook.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,8a4b7b4c27923aeae2cb261f56d9a7a023b4c317@users.noreply.github.com,d7065d56c62f20d4e735e1f776918e49f5fa9128@gmail.com,1b2808172e8013530752d54bdb793448f2bfafad@gmail.com,6e11f4430443ba872b8d61f5ac1f03659d6b36ed@users.noreply.github.com,2617b5fb7313e71b6132cf91fb442b96711a8c0a@google.com,ff9ddd96204b63eeb7774a31f44ed57430010f82@bu.edu,d6cdbb9075ba6da5c40e999c7ff2e1d1d2ad0c55@gmail.com,(null),2617b5fb7313e71b6132cf91fb442b96711a8c0a@basqu.es,6f590cc5575c6fe4a3031998c09ca6271cc818ff@iamrobinglen.com,73de460dca49b4884d70789c8440142afc74157c@gmail.com,29ccfbae94c6947bb3d2c96d3ebc14404d1a6443@gmail.com,9ea72f9458980a86c59d99f59305334185cc7d44@users.noreply.github.com,2bec1c591efcc43113676d0c68df7fa0b5b3ec1a@gmail.com,7ae2c2707dcabe30d2ca86053557535aba863f12@google.com,bcf4edee786807863219b789d67c96c7d243381d@google.com,6fc5c89fed1035ddc30a24a2d0aceb3aec367fd6@gmail.com,83a7af1a0f4ec2337e36b00bd14e92eb75f61a49@gmail.com,b4a5ea001e047040e8c9075b67a268293138da2c@azimi.me,22a7e2396c3b02be3bc73d3c8d7199ce81ba8d84@google.com,7ae2c2707dcabe30d2ca86053557535aba863f12@users.noreply.github.com,caf50d7980df0d20ea827e4850a7a0c7908a6154@coding-tech.com,90abc0adfec37f62b9af34a57a0c805f6fe123b2@gmail.com,c9bc70b11a259fb29ee1e8bc373f6d19ce271b95@gmail.com,af52d3065b8b78750f844012b8e34dbc454a5a0a@cloudware.io,6b7390ca0a8b88a18b9a59bbc21b2027892a789d@codeforamerica.org,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,2e318c39ebb1d5303896e3fb824d0279428bc59b@gmail.com,a7702473559ab100e483aaaef5f9b93ed328616e@googlemail.com"
GoogleChrome,GoogleChrome/sw-helpers,3030,1051,557,1005,417,12,"Jeffrey Posnick,Matt Gaunt,Prateek Bhatnagar,(null),Jeffrey Posnick,Philip Walton,Joe Medley,Sam Dutton,Joseph Medley,Philip Walton,Arthur Evans,Jeff Posnick,Addy Osmani,Matt Gaunt","6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@Gauntface.co.uk,d2f0a0d45ff042983facf4c91c63132148ce1d5a@gmail.com,(null),7098b559ac158ec27064cd588df58c9293c7d031@gmail.com,a4d3fa03767cbe51d672fd667c77aa5d96dc47e1@users.noreply.github.com,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,00b56000f620b43b473395096f3c13a21e845acb@gmail.com,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,bdbe007522dbb5441efb474fa64f45edd80c8549@philipwalton.com,69aaa677830a82807c6071fbcba4286668c52cd9@google.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,f4a8014f8d957005ce1e63bfc1fe51b3d88a23ca@gmail.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk"
GoogleChrome,GoogleChrome/gulliver,2024,610,521,607,286,11,"Seth Bergman,Sebastian Benz,(null),André Cipriani Bandarra,Julian Toledo,Julian Toledo,Michael Stillwell,Andre Bandarra,Andre Bandarra,Michael Stillwell,Alberto Medina,Dan Dascalescu","7efcb65ad041ed7f030fd31bb0be1b8b46c4821e@gmail.com,edffb7c2eb2702da04f80d538ad9a096b2b3ed00@google.com,(null),73de460dca49b4884d70789c8440142afc74157c@gmail.com,f55da07c01eabe13c940277f84affc0b289b01eb@gmail.com,a3d72ede65af40b9a6646def4d0f2a4fa8f320bb@jMac.local,1537d6fef08026c742dbc872db8d5a2fe83a1436@beebo.org,73de460dca49b4884d70789c8440142afc74157c@gmail.com,73de460dca49b4884d70789c8440142afc74157c@google.com,b5f7c9e63e07d83dd5615b703dd4930453e63820@google.com,5775c2c7ffea2d0e01e904cc344f3cc418583586@google.com,2e318c39ebb1d5303896e3fb824d0279428bc59b@gmail.com"
GoogleChrome,GoogleChrome/sw-precache,974,489,136,122,227,31,"Artem Denysov,Jonas Wagner,Tal Ater,Adam Solove,Michael Stillwell,Jess Telford,Henrik Joreteg,Mike Stead,rmacklin,Addy Osmani,karolklp,SignpostMarv,Alex Macleod,Rafal Borczuch,Nathan Cox,Rich McNeary,William Chou,(null),eauc,Kévin Berthommier,Kevin Phelps,Steven Yang,mahwy,Jeff Posnick,Tim van der Lippe,Vernon de Goede,Joe Medley,Florent,Jeffrey Posnick,Bader Nasser,Junliang Huang,Dan Dascalescu","2bec1c591efcc43113676d0c68df7fa0b5b3ec1a@gmail.com,7f140b51f30eb0762518f611c7ec9a2dd0c91007@29a.ch,ea973c81eda473a9514074eccc007b10f50c7fc8@talater.com,88b1ba617cbeeea26f5be5a252682998404493a4@gmail.com,1537d6fef08026c742dbc872db8d5a2fe83a1436@beebo.org,849aa65f81dac9d001d1b706b131bbc90ad4119b@jes.st,71e26ee94deaf84ca8e5f013bd94813dfaf1cadf@joreteg.com,8c2fec2a7e965af01d182eb7040ef644be3920e1@gmail.com,ceffbf1b628ac68d7dec471ab0a6b16e0d0867a0@nrm.com,f4a8014f8d957005ce1e63bfc1fe51b3d88a23ca@gmail.com,638db615d0028368a441827f08246c5b7a49aed4@gmail.com,b4a5ea001e047040e8c9075b67a268293138da2c@signpostmarv.name,af52d3065b8b78750f844012b8e34dbc454a5a0a@macleod.io,6ca232b69d47268e6be9e407c4827bd7fbe02c95@gmail.com,570dfb8b964e331f001bb789b61bd4e0f714c805@akujin.com,cb55240e1f35e1e98fdb99d82c88a18e0b2bf5c9@users.noreply.github.com,f7104039f15cbb0c3ebd55dacf81ba2ac6f2c807@google.com,(null),9bdb6eaecf5ba97921d63ac6062221af935a255d@gmail.com,b661ece2711a60abba1a2933dff41ca9ee7bd953@users.noreply.github.com,8ec1f55b80baa2139b9f4fb663244a607cd774e8@users.noreply.github.com,9a15402202a9e729982fc2b53b994855824dd3bc@gmail.com,2f3990734fc3901ef78b7602aaee1d7f51b3d1ce@gmail.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,3123c2c8a8218e7d4fb714cd4906dea5ccdd5fa1@users.noreply.github.com,616e881177e53541ea47e5917a60deb2554e079d@vernondegoede.com,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,e102370e35bd0ce8dc2af2677e7a1f6d01a5923e@gmail.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,5640b56ee7f32d7c641c979675d34180c3710231@gmail.com,3dc82a8682f81549678db05246541c4a7210dc3c@users.noreply.github.com,2e318c39ebb1d5303896e3fb824d0279428bc59b@gmail.com"
GoogleChrome,GoogleChrome/chromium-dashboard,956,479,127,159,191,15,"Jason Chase,wh0,Francois Beaufort,Ian Clelland,Brian Blakely,(null),Navid Zolghadr,Jason Chase,François Beaufort,Mark Dittmer,Steven Holte,Mark Dittmer,Philip Jägenstedt,Eric Bidelman,PhistucK,Rick Byers","42f84643577cbb74612493b04e41895c3ba5f843@gmail.com,a97f50c3ec825efaa772b734b1938c7083ba9a5b@users.noreply.github.com,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,7627c97868e6eeb65a40548e2bb299f7f6ca30b5@chromium.org,589b209a4d1dd5f964cca439f1e50d9f412dcdfc@gmail.com,(null),45e23bc766e8805306612c2e7fadd3626658008d@chromium.org,2cb6d59c4a37f434e464e25181a7decec71657ac@chromium.org,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,6e11f4430443ba872b8d61f5ac1f03659d6b36ed@users.noreply.github.com,4385179b9a2720e282df38ef5836b3123647a67a@google.com,1deca8947d60d8d8868abf686df9662dad35b859@gmail.com,bdbe007522dbb5441efb474fa64f45edd80c8549@foolip.org,bd91d3878df0519c102b3e1021b09dbf784307b2@gmail.com,83b8ac11e13c0a35651c04ce8177c78c902a24b6@gmail.com,8fb06fa5845817923bc78b6158416e7c07e303b8@chromium.org"
GoogleChrome,GoogleChrome/samples,759,313,253,135,58,26,"Jeff Posnick,Sam Dutton,Sérgio Gomes,Matthew  Gaunt,Oliver Dunk,Francois Beaufort,Mark Foltz (Google),Surma,Mark Foltz,Surma,Alexis Menard,(null),Michel Roca,Dan Dascalescu,Rouslan Solomakhin,Mounir Lamouri,François Beaufort,karolklp,Jeffrey Posnick,François Beaufort,Paul Lewis,Jonathan Lau,Joe Medley,Anton Vayvod,hebbet,Michael Stillwell,Rouslan Solomakhin,Suriyaa Kudo,Mathieu Perreault","6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,00b56000f620b43b473395096f3c13a21e845acb@gmail.com,e8947027b6673e2b68541b01cc1682128a856832@gmail.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,9a1110d4ec9f7aedb343e6c0485b887188277107@gmail.com,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,f8d71922a47917bc151d7f149f306516f831ae4f@google.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surma.link,f8d71922a47917bc151d7f149f306516f831ae4f@google.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surmair.de,b0cd7bd0b0a7415abde56ff40c6222af2753ddbb@intel.com,(null),154e7ff8bd102e75a251f689775beb9b2c5e034c@gmail.com,2e318c39ebb1d5303896e3fb824d0279428bc59b@gmail.com,3e23d6c3c6fa35432f5425f2cd70130e5facd306@chromium.org,e853d6868c76db0d1ee53f971ac67e7cacd476e5@lamouri.fr,a07646508899ca0af1c9747ffe004c87873a69c0@users.noreply.github.com,638db615d0028368a441827f08246c5b7a49aed4@gmail.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,f27a17fc90c00d8c248d8510a1084221738b492b@aerotwist.com,b4a5ea001e047040e8c9075b67a268293138da2c@jon.sg,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,5a310386620491e13004c55d6148a5f18639d165@google.com,2fc0c454367c0186270d02fcaad0480d17f71400@gmail.com,1537d6fef08026c742dbc872db8d5a2fe83a1436@beebo.org,a4bcdfb4b08201926f3cee185016d4a175f0e623@gmail.com,6525269109c67174571a24c512717e0a94f2b2a2@users.noreply.github.com,6850da14be4a3e7e992506e7ac98fe0357ab37a1@gmail.com"
GoogleChrome,GoogleChrome/selenium-assistant,753,34,91,586,42,6,"(null),Jeff Posnick,Surma,Travis CI,Greenkeeper,greenkeeperio-bot,Matt Gaunt,Matthew  Gaunt,npm-publish-script","(null),6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surmair.de,2de48fb9ee9219c070801eb2e4230c540a46be8c@google.com,e03213df9529d0363e2d70c9da0e4f63730010b6@greenkeeper.io,e03213df9529d0363e2d70c9da0e4f63730010b6@greenkeeper.io,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,2de48fb9ee9219c070801eb2e4230c540a46be8c@google.com"
chromium,chromium/badssl.com,671,348,61,142,120,14,"Emil Stahl,April King,Emily Stark,Eric Lawrence,(null),sleevi,Lucas Garron,Rouslan Solomakhin,Eric Lawrence,James Burton,Lucas Garron,April King,Fabian Beuke,git-meacer.google.com","117f863d8116d66c69b4d2d49c302d71657467fa@emilstahl.dk,385d6a0939c397d62cfa982075e906bf727f6f27@mozilla.com,c8f0c420e5622ca6e22d2d8e51dfadb5a4d0d221@google.com,a428165bdb88515994c87e5b6a20b6efda4d1151@hotmail.com,(null),0e3cd7494488825ebe2f657601e04f3018d38aba@gmail.com,f57b1f4e97aa3d493260da835bf7d3d60d74d0bc@chromium.org,a4bcdfb4b08201926f3cee185016d4a175f0e623@gmail.com,22d358f81f44ff8988769788cd70b084f4bd807d@chromium.org,2a228e9e937ebe43f2d26399cd3e8662a64b49af@0.me.uk,ab3bf20a456957ab3c21b104b37d8a70f0061e3c@garron.net,385d6a0939c397d62cfa982075e906bf727f6f27@pokeinthe.io,3b8e10480754ba93523db5dc4626a5f001e54bb7@beuke.org,dfef7fce2217ce84a8b369df131989a3732c6ce7@google.com"
GoogleChrome,GoogleChrome/sw-toolbox,564,244,90,113,117,16,"Joseph Medley,Matthew  Gaunt,Matt Gaunt,(null),Tushar Mathur,Shantanu Raj,David Scales,Addy Osmani,Jeffrey Posnick,Mat Scales,chris van wiemeersch,Mat Scales,Mickey Wu,Jason Travis,Samer Masterson,Simon Knox,Mohsen Azimi,Jeff Posnick","edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,(null),0682a44307c4b923a23e30e989f100c6e8870c5d@gmail.com,c670c036b80e8a367090c973b8b0168392874d7a@sraj.me,3aa1ba911abfee4c2cacb73824d7dfde3df413eb@gmail.com,f4a8014f8d957005ce1e63bfc1fe51b3d88a23ca@gmail.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,42128f2623cd51e71f6511ac1981ea128337c33f@google.com,e39ea1e9f10e90da55e5bdce29d18c42e2d2fb95@users.noreply.github.com,c739784485baa37b6c500547d280ba9d1fc1d6e5@wibbly.org.uk,ca5d21e25fbde8a646742abf0eec6ce696aaa806@users.noreply.github.com,50950e93dc58c6bde634085ee7d2bd3ed40b4e28@tgen.org,b73a0029c087c4eaf4e6ecd0cb16b8ac66dd472d@gmail.com,c155cb58a959e83e4b8b306684078359e4cfa59e@gmail.com,b4a5ea001e047040e8c9075b67a268293138da2c@azimi.me,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com"
GoogleChrome,GoogleChrome/devsummit,384,83,55,191,55,13,"Ram Lmn,Surma,Surma,Aaron Layton,Sam Saccone,Monica Dinculescu,Jan Kühle,Dom Farolino,(null),Paul Lewis,Erik Trom,Paul Kinlan,Paul Lewis","d990dfea1132b1f4ac0e96b79933df66176a6367@users.noreply.github.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surma.link,0810fa2c3679bc14c3e654fba82ade074fc071e1@surmair.de,76ae22f3494a8f3c6744048a9f160c4a009f96c3@gmail.com,c20002109429c63da346bda6ee78ecb6ee7c8ef6@gmail.com,153a1fd54b7d2cec3994c6051c725c5f4882077f@google.com,51a96b2ab1e4ac50e3d982f72d00798ad9fed041@gmail.com,5f2a904f3036a10209486dc1fff073cd1a2be850@gmail.com,(null),f27a17fc90c00d8c248d8510a1084221738b492b@aerotwist.com,c85117b88f798017ab9c2904d85ae28c7c3b5c4b@gmail.com,dce5fd3edbca253dad009581edb3afb5c418a9b8@gmail.com,964dd9ca620e9bc86e949b4c97da8d5dd434fdc1@aerotwist.com"
