org,repo,activity,comments,prs,commits,issues,authors_alt2,authors_alt1,authors
# Blink Manually splitted from Chromium
# =External,=External/Blink,40000,3000,1800,1115,32115,294,=294,=294
GoogleChrome,GoogleChrome/lighthouse,11132,5124,1842,2536,1630,90,"Matt Gaunt,Michael Stramel,Michael Gerakis,Jonathan Garbee,Brendan Kenny,Ziling Zhao,Rob Dodson,Surma,Mateus Ortiz,Addy Osmani,Abby Armada,Paul Lewis,YongWoo Jeon,Zack Boehm,Boopathi Rajaa,Artem Denysov,Jeremiah Njoroge,Paul Irish,Paul Irish,Karan Thakkar,Patrick Hulce,Zixu Zhao,Matt Gaunt,Chris Wheatley,Mark Dittmer,Paul Lewis,Pavel Feldman,Boopathi Rajaa,Surma,lokson,kiermasp,Nick Olinger,Boopathi Rajaa,Sam Thorogood,Chris Howse,Brendan Kenny,Rob Dodson,Michael Gerakis,Paul Lewis,Deepanjan Roy,praveen vijayan,Pierre-Marie Dartus,Jan Potoms,Boopathi Rajaa,Brendan Kenny,M Somerville,Eric Bidelman,Dmitry Gozman,Shane Osbourne,Michael Gerakis,zhaoz,Sam Thorogood,Mohsen Azimi,Sendil Kumar N,Maciej Kasprzyk,Matthias Winkelmann,Mel Shafer,Brendan Kenny,Kurt Graff,Brendan Kenny,Maurice de Beijer,Stuart Langridge,alex,Maya Benari,Paul Irish,(null),Kayce Basques,André Cipriani Bandarra,Tommy C. Li,Jeff Posnick,Patrick Hulce,Kayce Basques,Weiwei Lin,Narendra N Shetty,Paul Lewis,Carlos Araya,Harsh Singh,Den Temple,Paul Lewis,Sam Saccone,YongWoo Jeon,SendilKumar N,hemanth.hm,Deepanjan Roy,Nicolas Montesdeoca,Jilles Soeters,Umar Hansa,Sam Saccone,Matt Busche,Sam Saccone,WeiweiAtGit,Will Chen,François Beaufort,XhmikosR,Ward Peeters","1fa2ef4755a9226cb9a0a4840bd89b158ac71391@gauntface.co.uk,5012a6e72e3c95ba4dd59600bccbd54f6bc6328a@users.noreply.github.com,3a968d1071baf137c6e3f6d2430d7a430c4c9278@google.com,fd95ac6701e4086a2cf6bdd62d96fe0ed3bbc7f4@garbee.me,22a7e2396c3b02be3bc73d3c8d7199ce81ba8d84@gmail.com,3ed600082c4c67d273f413d1e1ddcfa86ae94467@google.com,7ae2c2707dcabe30d2ca86053557535aba863f12@google.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surma.link,ce76d6d7cc5e06617b39e82517fdc5ab22d73295@ig.com.br,f4a8014f8d957005ce1e63bfc1fe51b3d88a23ca@gmail.com,723cdfbda174d3e012cc7cc1098a2f68845234b0@codeclimate.com,f27a17fc90c00d8c248d8510a1084221738b492b@aerotwist.com,08084d8fdd58335a5e099c019f9c33318a3213f4@gmail.com,46f1a0bd5592a2f9244ca321b129902a06b53e03@zackboehm.com,b1c1d8736f20db3fb6c1c66bb1455ed43909f0d8@boopathi.in,2bec1c591efcc43113676d0c68df7fa0b5b3ec1a@gmail.com,d6cdbb9075ba6da5c40e999c7ff2e1d1d2ad0c55@gmail.com,15e63d2cde23b6c5371c2e0a0dc267ad7728de5f@gmail.com,1a5b9c42cacb5a6a160e3f15d82a8c362deb79ac@gmail.com,4eafda120c883ce1d2369af37c8607a920b80952@gmail.com,bcf4edee786807863219b789d67c96c7d243381d@google.com,8a4b7b4c27923aeae2cb261f56d9a7a023b4c317@users.noreply.github.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,2be416b715e7c1fb1389bae3bacdef345bd4c5ca@users.noreply.github.com,6e11f4430443ba872b8d61f5ac1f03659d6b36ed@users.noreply.github.com,64b2b6d12bfe4baae7dad3d018f8cbf6b0e7a044@aerotwist.com,235e260c3387232f567a0c5b9f55a964b6ec3b26@chromium.org,b4a5ea001e047040e8c9075b67a268293138da2c@boopathi.in,0810fa2c3679bc14c3e654fba82ade074fc071e1@surmair.de,c04ad613f54ffedd810f07d7bb8999c8ce020347@gmail.com,6508258251dac4080802e4249d44b23a9d20d623@gmail.com,382cb451556002778c7b3b2ea33c8301b74dfb67@gmail.com,2324458d570227ab131bcfe7815caeaacd97a9b8@users.noreply.github.com,da39a3ee5e6b4b0d3255bfef95601890afd80709,4181b934c2715a2bba60cdb3cc1b35b2777d1c23@howsehold.org,22a7e2396c3b02be3bc73d3c8d7199ce81ba8d84@google.com,7ae2c2707dcabe30d2ca86053557535aba863f12@users.noreply.github.com,ff9ddd96204b63eeb7774a31f44ed57430010f82@bu.edu,da39a3ee5e6b4b0d3255bfef95601890afd80709,21a8c512e4fd8500f8a33144489a9bb7710bbc43@mail.mcgill.ca,cd830fd41a0ff0c4ef5c045782752f8146a3ca02@gmail.com,5e6ebc992274362966716576a99a5bc06548bc1f@gmail.com,c3df0edebd27e4bbb8f25dd20a923c2ba0307210@gmail.com,c292022ce370a6d3ca03405d4f2350aaed352159@users.noreply.github.com,1a326206ec7b69f8db1f2561625df302d7f8225c@gmail.com,b9c734df433b6730c24e02baca4a3feca8ba3f09@users.noreply.github.com,bd91d3878df0519c102b3e1021b09dbf784307b2@gmail.com,635a8549a8b865f924d751d8cb2972fab76ebbdc@chromium.org,8996c03561e90858629cdb860fa597a555eedbf1@gmail.com,ff9ddd96204b63eeb7774a31f44ed57430010f82@google.com,83a7af1a0f4ec2337e36b00bd14e92eb75f61a49@gmail.com,9c40038921e8c71ca17d487bb1a5f643879bd431@gmail.com,b4a5ea001e047040e8c9075b67a268293138da2c@azimi.me,44502a1384f1d8a9f542ea75c64def059a52b0af@live.com,c04ad613f54ffedd810f07d7bb8999c8ce020347@gmail.com,fd0b736c3ad547603f0551002ce5d92c88f24b7e@users.noreply.github.com,29ccfbae94c6947bb3d2c96d3ebc14404d1a6443@gmail.com,1a326206ec7b69f8db1f2561625df302d7f8225c@google.com,1cb9088ec25b62fcc5fc46c1a26871f4a317cdf0@users.noreply.github.com,da39a3ee5e6b4b0d3255bfef95601890afd80709,4ec57907a8d81cac362ea911f53f613739653131@gmail.com,f58838ddfac7972981c146f9aeb1ebc4c6f0a4b4@kryogenix.org,af52d3065b8b78750f844012b8e34dbc454a5a0a@cloudware.io,6b7390ca0a8b88a18b9a59bbc21b2027892a789d@codeforamerica.org,da39a3ee5e6b4b0d3255bfef95601890afd80709,(null),2617b5fb7313e71b6132cf91fb442b96711a8c0a@basqu.es,73de460dca49b4884d70789c8440142afc74157c@gmail.com,9ea72f9458980a86c59d99f59305334185cc7d44@users.noreply.github.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,6fc5c89fed1035ddc30a24a2d0aceb3aec367fd6@gmail.com,2617b5fb7313e71b6132cf91fb442b96711a8c0a@google.com,6b13f4592e9638fc7e584c5692acb37dcd9c4153@google.com,248ee0d25691bae8e171b6aabb8bbb786bce7824@gmail.com,964dd9ca620e9bc86e949b4c97da8d5dd434fdc1@aerotwist.com,d714333db7ee35057a532fd2cb22c6b7833a362b@gmail.com,1b2808172e8013530752d54bdb793448f2bfafad@gmail.com,374d5b9808472784c75307c6375c1288e1c991df@users.noreply.github.com,92bbb854391fe6840c848a5d8127f8c0b6b46d16@aerotwist.com,c20002109429c63da346bda6ee78ecb6ee7c8ef6@google.com,380b4c92f559cf43d20833f4174d418be5ec1c2b@navercorp.com,44502a1384f1d8a9f542ea75c64def059a52b0af@live.com,e1f84067eb107fac9d83666d6b889cf9e1c6cb2b@gmail.com,268aa06be873632b84800465917e979e55ffe35e@mail.mcgill.ca,34304fa76a8608886bef8eb7246b2eeed532fad1@gmail.com,616e881177e53541ea47e5917a60deb2554e079d@jilles.me,74b552b6185ee615c54d55f9bc5fa1a30350cc07@gmail.com,c20002109429c63da346bda6ee78ecb6ee7c8ef6@gmail.com,419c00f9be420fe8b0d258f674c35b0962d32c98@gmail.com,1dc92ef42dd4a9b5cf1cf135ebbd3434b0189447@gmail.com,e9ac2538f32919ae4dc416238555d34d5035a9f7@outlook.com,a8aac14888c73eaa2400fb532ec3aa35ec55f185@gmail.com,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,90abc0adfec37f62b9af34a57a0c805f6fe123b2@gmail.com,caf50d7980df0d20ea827e4850a7a0c7908a6154@coding-tech.com"
GoogleChrome,GoogleChrome/sw-helpers,2772,945,500,930,397,13,"Jeffrey Posnick,Jeff Posnick,Philip Walton,Prateek Bhatnagar,Joseph Medley,Philip Walton,(null),Arthur Evans,Joe Medley,Jeff Posnick,Matt Gaunt,Jeffrey Posnick,Matt Gaunt,Jeffrey Posnick,Sam Dutton,Addy Osmani","7098b559ac158ec27064cd588df58c9293c7d031@gmail.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,a4d3fa03767cbe51d672fd667c77aa5d96dc47e1@users.noreply.github.com,d2f0a0d45ff042983facf4c91c63132148ce1d5a@gmail.com,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,bdbe007522dbb5441efb474fa64f45edd80c8549@philipwalton.com,(null),69aaa677830a82807c6071fbcba4286668c52cd9@google.com,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,42f8e1e9bedb36c986e11747cedcc023d1bb491c@google.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@Gauntface.co.uk,42f8e1e9bedb36c986e11747cedcc023d1bb491c@google.com,00b56000f620b43b473395096f3c13a21e845acb@gmail.com,f4a8014f8d957005ce1e63bfc1fe51b3d88a23ca@gmail.com"
GoogleChrome,GoogleChrome/gulliver,1856,591,461,533,271,10,"André Cipriani Bandarra,(null),Sebastian Benz,Andre Bandarra,Michael Stillwell,Michael Stillwell,Dan Dascalescu,Alberto Medina,Julian Toledo,Andre Bandarra,Julian Toledo","73de460dca49b4884d70789c8440142afc74157c@gmail.com,(null),edffb7c2eb2702da04f80d538ad9a096b2b3ed00@google.com,73de460dca49b4884d70789c8440142afc74157c@gmail.com,1537d6fef08026c742dbc872db8d5a2fe83a1436@beebo.org,b5f7c9e63e07d83dd5615b703dd4930453e63820@google.com,2e318c39ebb1d5303896e3fb824d0279428bc59b@gmail.com,5775c2c7ffea2d0e01e904cc344f3cc418583586@google.com,a3d72ede65af40b9a6646def4d0f2a4fa8f320bb@jMac.local,73de460dca49b4884d70789c8440142afc74157c@google.com,f55da07c01eabe13c940277f84affc0b289b01eb@gmail.com"
GoogleChrome,GoogleChrome/sw-precache,954,476,135,123,220,35,"Artem Denysov,William Chou,Zeno Rocha,Nathan Cox,Addy Osmani,Kévin Berthommier,Michael Stillwell,Kevin Phelps,Steven Yang,Rich McNeary,Joe Medley,Florent,Alex Macleod,Rafal Borczuch,karolklp,eauc,Mike Stead,Adam Solove,rmacklin,Vernon de Goede,Jonas Wagner,Junliang Huang,Dan Dascalescu,Bader Nasser,Henrik Joreteg,Jeff Posnick,(null),Jeff Posnick,mahwy,Tim van der Lippe,Jeffrey Posnick,Tim van der Lippe,Wassim Chegham,Tal Ater,SignpostMarv,Jess Telford","2bec1c591efcc43113676d0c68df7fa0b5b3ec1a@gmail.com,f7104039f15cbb0c3ebd55dacf81ba2ac6f2c807@google.com,c22b5f9178342609428d6f51b2c5af4c0bde6a42@zenorocha.com,570dfb8b964e331f001bb789b61bd4e0f714c805@akujin.com,f4a8014f8d957005ce1e63bfc1fe51b3d88a23ca@gmail.com,b661ece2711a60abba1a2933dff41ca9ee7bd953@users.noreply.github.com,1537d6fef08026c742dbc872db8d5a2fe83a1436@beebo.org,8ec1f55b80baa2139b9f4fb663244a607cd774e8@users.noreply.github.com,9a15402202a9e729982fc2b53b994855824dd3bc@gmail.com,cb55240e1f35e1e98fdb99d82c88a18e0b2bf5c9@users.noreply.github.com,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,e102370e35bd0ce8dc2af2677e7a1f6d01a5923e@gmail.com,af52d3065b8b78750f844012b8e34dbc454a5a0a@macleod.io,6ca232b69d47268e6be9e407c4827bd7fbe02c95@gmail.com,638db615d0028368a441827f08246c5b7a49aed4@gmail.com,9bdb6eaecf5ba97921d63ac6062221af935a255d@gmail.com,8c2fec2a7e965af01d182eb7040ef644be3920e1@gmail.com,88b1ba617cbeeea26f5be5a252682998404493a4@gmail.com,ceffbf1b628ac68d7dec471ab0a6b16e0d0867a0@nrm.com,616e881177e53541ea47e5917a60deb2554e079d@vernondegoede.com,7f140b51f30eb0762518f611c7ec9a2dd0c91007@29a.ch,3dc82a8682f81549678db05246541c4a7210dc3c@users.noreply.github.com,2e318c39ebb1d5303896e3fb824d0279428bc59b@gmail.com,5640b56ee7f32d7c641c979675d34180c3710231@gmail.com,71e26ee94deaf84ca8e5f013bd94813dfaf1cadf@joreteg.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,(null),42f8e1e9bedb36c986e11747cedcc023d1bb491c@google.com,2f3990734fc3901ef78b7602aaee1d7f51b3d1ce@gmail.com,3123c2c8a8218e7d4fb714cd4906dea5ccdd5fa1@users.noreply.github.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,1f810e6c16d2ae65394b6447c2b6fb7d3af46ce0@users.noreply.github.com,64b2b6d12bfe4baae7dad3d018f8cbf6b0e7a044@wassimchegham.com,ea973c81eda473a9514074eccc007b10f50c7fc8@talater.com,b4a5ea001e047040e8c9075b67a268293138da2c@signpostmarv.name,849aa65f81dac9d001d1b706b131bbc90ad4119b@jes.st"
GoogleChrome,GoogleChrome/chromium-dashboard,945,471,127,157,190,16,"Steven Holte,Philip Jägenstedt,Francois Beaufort,Ian Clelland,Jason Chase,Navid Zolghadr,Rick Byers,Eric Bidelman,PhistucK,(null),Brian Blakely,Mark Dittmer,Eric Bidelman,Jason Chase,wh0,Mark Dittmer,François Beaufort","4385179b9a2720e282df38ef5836b3123647a67a@google.com,bdbe007522dbb5441efb474fa64f45edd80c8549@foolip.org,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,7627c97868e6eeb65a40548e2bb299f7f6ca30b5@chromium.org,42f84643577cbb74612493b04e41895c3ba5f843@gmail.com,45e23bc766e8805306612c2e7fadd3626658008d@chromium.org,8fb06fa5845817923bc78b6158416e7c07e303b8@chromium.org,bd91d3878df0519c102b3e1021b09dbf784307b2@gmail.com,83b8ac11e13c0a35651c04ce8177c78c902a24b6@gmail.com,(null),589b209a4d1dd5f964cca439f1e50d9f412dcdfc@gmail.com,6e11f4430443ba872b8d61f5ac1f03659d6b36ed@users.noreply.github.com,e3c440c505cd98c2110009b7da3d41bc719a7564@gmail.com,2cb6d59c4a37f434e464e25181a7decec71657ac@chromium.org,a97f50c3ec825efaa772b734b1938c7083ba9a5b@users.noreply.github.com,1deca8947d60d8d8868abf686df9662dad35b859@gmail.com,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com"
GoogleChrome,GoogleChrome/samples,841,347,288,147,59,33,"Mark Foltz,Rouslan Solomakhin,Rouslan Solomakhin,Rouslan Solomakhin,Mounir Lamouri,Oliver Dunk,Paul Lewis,Jeffrey Posnick,karolklp,Sérgio Gomes,Jeff Posnick,Sam Dutton,Joe Medley,Jeff Posnick,(null),Michel Roca,François Beaufort,Suriyaa Kudo,Jonathan Lau,Alex Sieke,Dan Dascalescu,Mathieu Perreault,Rouslan Solomakhin,Michael Stillwell,Sam Dutton,Surma,François Beaufort,hebbet,Addy Osmani,Matthew  Gaunt,Vincent Scheib,Anton Vayvod,Francois Beaufort,François Beaufort,Surma","f8d71922a47917bc151d7f149f306516f831ae4f@google.com,da39a3ee5e6b4b0d3255bfef95601890afd80709,9f3b9cc8b975fafbfe0966b4c578370ef7248ff5@gmail.com,3e23d6c3c6fa35432f5425f2cd70130e5facd306@chromium.org,e853d6868c76db0d1ee53f971ac67e7cacd476e5@lamouri.fr,9a1110d4ec9f7aedb343e6c0485b887188277107@gmail.com,f27a17fc90c00d8c248d8510a1084221738b492b@aerotwist.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,638db615d0028368a441827f08246c5b7a49aed4@gmail.com,e8947027b6673e2b68541b01cc1682128a856832@gmail.com,6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,00b56000f620b43b473395096f3c13a21e845acb@gmail.com,edb079514f0fabf8f2b2db7a9af6d2ff2bfbed45@google.com,42f8e1e9bedb36c986e11747cedcc023d1bb491c@google.com,(null),154e7ff8bd102e75a251f689775beb9b2c5e034c@gmail.com,a07646508899ca0af1c9747ffe004c87873a69c0@users.noreply.github.com,6525269109c67174571a24c512717e0a94f2b2a2@users.noreply.github.com,b4a5ea001e047040e8c9075b67a268293138da2c@jon.sg,da39a3ee5e6b4b0d3255bfef95601890afd80709,2e318c39ebb1d5303896e3fb824d0279428bc59b@gmail.com,6850da14be4a3e7e992506e7ac98fe0357ab37a1@gmail.com,a4bcdfb4b08201926f3cee185016d4a175f0e623@gmail.com,1537d6fef08026c742dbc872db8d5a2fe83a1436@beebo.org,e3cc86baee2fde0639d4e12cae503a10825f518e@gmail.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surma.link,68ad0021638ac1205c1bed6838f2dc728f5e0895@users.noreply.github.com,2fc0c454367c0186270d02fcaad0480d17f71400@gmail.com,8d94591d6660fba452c82da40792f0ec190fa31c@gmail.com,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,e1af4829b696deaa23ecabd854f34b727e27251d@users.noreply.github.com,5a310386620491e13004c55d6148a5f18639d165@google.com,d46131b785c18589d75c23b23c31a0369522c6f9@gmail.com,e592562e2f96e9bedda73e38ce0929c5bf7eaadf@gmail.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surmair.de"
GoogleChrome,GoogleChrome/selenium-assistant,753,34,91,586,42,6,"Jeff Posnick,(null),greenkeeperio-bot,Matthew  Gaunt,Greenkeeper,Matt Gaunt,Travis CI,Surma,npm-publish-script","6565e185d99137e3eed3aab3d9ebb6250bce2bb2@google.com,(null),e03213df9529d0363e2d70c9da0e4f63730010b6@greenkeeper.io,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,e03213df9529d0363e2d70c9da0e4f63730010b6@greenkeeper.io,31e7b35f7f9f5d76c1e2ef239c79b97264b2f6d0@gauntface.co.uk,2de48fb9ee9219c070801eb2e4230c540a46be8c@google.com,0810fa2c3679bc14c3e654fba82ade074fc071e1@surmair.de,2de48fb9ee9219c070801eb2e4230c540a46be8c@google.com"
chromium,chromium/badssl.com,652,341,58,138,115,12,"sleevi,Fabian Beuke,Emily Stark,April King,Eric Lawrence,Lucas Garron,James Burton,April King,git-meacer.google.com,Rouslan Solomakhin,Eric Lawrence,(null)","0e3cd7494488825ebe2f657601e04f3018d38aba@gmail.com,3b8e10480754ba93523db5dc4626a5f001e54bb7@beuke.org,c8f0c420e5622ca6e22d2d8e51dfadb5a4d0d221@google.com,385d6a0939c397d62cfa982075e906bf727f6f27@pokeinthe.io,a428165bdb88515994c87e5b6a20b6efda4d1151@hotmail.com,f57b1f4e97aa3d493260da835bf7d3d60d74d0bc@chromium.org,2a228e9e937ebe43f2d26399cd3e8662a64b49af@0.me.uk,385d6a0939c397d62cfa982075e906bf727f6f27@mozilla.com,dfef7fce2217ce84a8b369df131989a3732c6ce7@google.com,a4bcdfb4b08201926f3cee185016d4a175f0e623@gmail.com,22d358f81f44ff8988769788cd70b084f4bd807d@chromium.org,(null)"
